Stock,Fusion_Model,R2,RMSE,MSE,MAE
LSEG.L,GJR_pred+KNN,-0.53,0.0038,1.4e-05,0.0029
LSEG.L,EGARCH_pred+RandomForest,0.2153,0.0027,7e-06,0.0023
LSEG.L,EGARCH_pred+XGBoost,0.0219,0.003,9e-06,0.0026
LSEG.L,EGARCH_pred+CatBoost,0.0301,0.003,9e-06,0.0025
LSEG.L,EGARCH_pred+AdaBoost,-1.1894,0.0045,2e-05,0.0041
LSEG.L,EGARCH_pred+KNN,-0.53,0.0038,1.4e-05,0.0029
MNG.L,GARCH_pred+RandomForest,-1.154,0.0011,1e-06,0.0008
MNG.L,GARCH_pred+XGBoost,-2.2155,0.0013,2e-06,0.0011
MNG.L,GARCH_pred+CatBoost,-1.2156,0.0011,1e-06,0.0008
MNG.L,GARCH_pred+AdaBoost,-0.6329,0.0009,1e-06,0.0006
MNG.L,GARCH_pred+KNN,-2.9416,0.0015,2e-06,0.0013
MNG.L,GJR_pred+RandomForest,-1.1215,0.0011,1e-06,0.0008
MNG.L,GJR_pred+XGBoost,-2.2155,0.0013,2e-06,0.0011
MNG.L,GJR_pred+CatBoost,-1.1972,0.0011,1e-06,0.0008
MNG.L,GJR_pred+AdaBoost,-1.0656,0.0011,1e-06,0.0008
MNG.L,GJR_pred+KNN,-2.9416,0.0015,2e-06,0.0013
HL.L,GARCH_pred+RandomForest,0.8931,0.0017,3e-06,0.0013
HL.L,GARCH_pred+XGBoost,0.8912,0.0017,3e-06,0.0012
HL.L,GARCH_pred+CatBoost,0.8054,0.0023,5e-06,0.0019
HL.L,GARCH_pred+AdaBoost,0.8232,0.0022,5e-06,0.0018
HL.L,GARCH_pred+KNN,-3.1549,0.0105,0.000111,0.0092
HL.L,GJR_pred+RandomForest,0.8999,0.0016,3e-06,0.0012
HL.L,GJR_pred+XGBoost,0.8984,0.0016,3e-06,0.0011
HL.L,GJR_pred+CatBoost,0.8278,0.0021,5e-06,0.0018
HL.L,GJR_pred+AdaBoost,0.8084,0.0023,5e-06,0.0019
HL.L,GJR_pred+KNN,-3.1549,0.0105,0.000111,0.0092
HL.L,EGARCH_pred+RandomForest,0.8527,0.002,4e-06,0.0014
HL.L,EGARCH_pred+XGBoost,0.8631,0.0019,4e-06,0.0013
HL.L,EGARCH_pred+CatBoost,0.8491,0.002,4e-06,0.0015
HL.L,EGARCH_pred+AdaBoost,0.8244,0.0022,5e-06,0.0018
HL.L,EGARCH_pred+KNN,-3.1549,0.0105,0.000111,0.0092
